Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;unter 3 Jahre;;3 bis unter 6 Jahre;;6 bis unter 10 Jahre;;10 bis unter 15 Jahre;;15 bis unter 18 Jahre;;18 bis unter 20 Jahre;;20 bis unter 25 Jahre;;25 bis unter 30 Jahre;;30 bis unter 35 Jahre;;35 bis unter 40 Jahre;;40 bis unter 45 Jahre;;45 bis unter 50 Jahre;;50 bis unter 55 Jahre;;55 bis unter 60 Jahre;;60 bis unter 65 Jahre;;65 bis unter 75 Jahre;;75 Jahre und mehr;;Insgesamt;
;03153;Goslar, Landkreis;2772;e;2843;e;4049;e;4873;e;3272;e;2364;e;6211;e;6857;e;6952;e;6988;e;7056;e;6731;e;8872;e;11248;e;10697;e;17637;e;18290;e;127712;e
;03154;Helmstedt, Landkreis;2314;e;2699;e;3559;e;3943;e;2507;e;1661;e;3734;e;4120;e;5319;e;5910;e;5923;e;5210;e;6216;e;7925;e;7621;e;11431;e;10600;e;90692;e
;03155;Northeim, Landkreis;3066;e;3243;e;4489;e;5335;e;3423;e;2304;e;5687;e;6131;e;6919;e;7169;e;7132;e;6803;e;8679;e;11109;e;11180;e;17339;e;16302;e;126310;e
;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;03157;Peine, Landkreis;3984;e;4415;e;5836;e;6702;e;4101;e;2777;e;6490;e;6562;e;7966;e;8911;e;8559;e;7985;e;9744;e;11960;e;10622;e;15670;e;14699;e;136983;e
;03158;Wolfenbüttel, Landkreis;3027;e;3444;e;4417;e;5174;e;3223;e;2211;e;5409;e;5679;e;6578;e;7163;e;6941;e;6698;e;8561;e;10913;e;9765;e;14641;e;14696;e;118540;e
;03159;Göttingen, Landkreis;7981;e;8557;e;11372;e;13254;e;8501;e;6305;e;21015;e;22954;e;21179;e;20035;e;18592;e;17441;e;21034;e;25947;e;25584;e;39783;e;39123;e;328657;e
;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;03241;Region Hannover, Landkreis;30397;e;31906;e;43514;e;51609;e;32009;e;21863;e;63664;e;76332;e;76939;e;74914;e;73571;e;67981;e;75470;e;90417;e;81093;e;119693;e;127571;e;1138943;e
;03251;Diepholz, Landkreis;6039;e;6375;e;8584;e;10185;e;6411;e;4355;e;10448;e;11110;e;13022;e;13509;e;13198;e;12345;e;15744;e;19858;e;17877;e;26577;e;25106;e;220743;e
;03252;Hameln-Pyrmont, Landkreis;3900;e;4155;e;5537;e;6633;e;4200;e;2879;e;6857;e;7707;e;8649;e;8665;e;8543;e;8081;e;10106;e;13065;e;12496;e;19258;e;19804;e;150535;e
;03253;Hannover, Landkreis (bis 31.10.2001);-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;03254;Hildesheim, Landkreis;6936;e;7207;e;9616;e;11504;e;7485;e;5367;e;14898;e;15555;e;16046;e;15949;e;15481;e;14990;e;18291;e;23040;e;21346;e;32501;e;32106;e;268318;e
;03255;Holzminden, Landkreis;1614;e;1750;e;2330;e;2913;e;1773;e;1216;e;3220;e;3325;e;3523;e;3744;e;3674;e;3447;e;4456;e;5670;e;5624;e;9004;e;8805;e;66088;e
;03256;Nienburg (Weser), Landkreis;3123;e;3493;e;4819;e;5831;e;3753;e;2583;e;6000;e;6354;e;6970;e;7230;e;7092;e;6794;e;8460;e;10690;e;10315;e;14921;e;13295;e;121723;e
;03257;Schaumburg, Landkreis;3944;e;4253;e;5777;e;6781;e;4423;e;2990;e;7333;e;7792;e;8645;e;9077;e;9121;e;8540;e;11085;e;14204;e;13030;e;19641;e;20415;e;157051;e
;03351;Celle, Landkreis;4671;e;5065;e;6944;e;8189;e;5075;e;3551;e;7952;e;8645;e;10030;e;10887;e;10745;e;9719;e;11606;e;14394;e;13381;e;21692;e;20325;e;172871;e
;03352;Cuxhaven, Landkreis;5104;e;5439;e;7396;e;9126;e;5672;e;3662;e;8553;e;9268;e;10802;e;11569;e;11317;e;10820;e;14265;e;17593;e;16624;e;26938;e;25242;e;199390;e
;03353;Harburg, Landkreis;7027;e;7626;e;10593;e;12525;e;7648;e;5194;e;12277;e;13083;e;14845;e;16509;e;17240;e;15989;e;18970;e;24059;e;20837;e;28982;e;31363;e;264767;e
;03354;Lüchow-Dannenberg, Landkreis;1023;e;1178;e;1654;e;1952;e;1289;e;912;e;1833;e;1828;e;2190;e;2509;e;2593;e;2478;e;3151;e;4160;e;4271;e;7043;e;6751;e;46815;e
;03355;Lüneburg, Landkreis;4731;e;5081;e;7066;e;8481;e;5199;e;3739;e;10558;e;10347;e;10597;e;11265;e;11381;e;11047;e;12745;e;15544;e;13689;e;19713;e;18220;e;179403;e
;03356;Osterholz, Landkreis;2998;e;3364;e;4787;e;5410;e;3241;e;2108;e;4879;e;4710;e;5982;e;6758;e;7076;e;6497;e;8084;e;10571;e;9499;e;14017;e;13803;e;113784;e
;03357;Rotenburg (Wümme), Landkreis;4467;e;4824;e;6292;e;7577;e;5014;e;3508;e;8534;e;8972;e;9845;e;10460;e;9798;e;9398;e;11806;e;14457;e;13410;e;19735;e;17464;e;165561;e
;03358;Heidekreis;3689;e;4034;e;5327;e;6657;e;4147;e;2916;e;6972;e;7265;e;8459;e;8812;e;8443;e;7952;e;9858;e;12250;e;11637;e;16924;e;16285;e;141627;e
;03359;Stade, Landkreis;5845;e;6335;e;8390;e;10181;e;6225;e;4123;e;10181;e;11198;e;12510;e;13382;e;13067;e;12441;e;14345;e;17331;e;15808;e;23535;e;22762;e;207659;e
;03360;Uelzen, Landkreis;2308;e;2391;e;3168;e;3897;e;2576;e;1861;e;4243;e;4591;e;4997;e;5280;e;5048;e;5144;e;6440;e;8105;e;7978;e;12053;e;11752;e;91832;e
;03361;Verden, Landkreis;3980;e;4253;e;5892;e;6817;e;4012;e;2742;e;6480;e;7064;e;7979;e;8795;e;8411;e;7709;e;9568;e;11656;e;10731;e;16572;e;15612;e;138273;e
;03401;Delmenhorst, kreisfreie Stadt;2333;e;2449;e;3452;e;3844;e;2489;e;1661;e;4483;e;4706;e;5320;e;5303;e;4816;e;4805;e;5507;e;6489;e;5957;e;8862;e;9270;e;81746;e
;03402;Emden, kreisfreie Stadt;1211;e;1417;e;2005;e;2351;e;1410;e;1047;e;3047;e;3235;e;3245;e;3120;e;3020;e;2774;e;3550;e;3924;e;3449;e;5647;e;5249;e;49701;e
;03403;Oldenburg (Oldenburg), kreisfreie Stadt;4507;e;4534;e;6155;e;7418;e;4585;e;3530;e;12773;e;15482;e;13584;e;11538;e;10512;e;9727;e;11181;e;13501;e;12093;e;17925;e;17197;e;176242;e
;03404;Osnabrück, kreisfreie Stadt;4238;e;4122;e;5530;e;6841;e;4344;e;3418;e;14876;e;15651;e;12671;e;10541;e;9725;e;9129;e;10507;e;11822;e;10442;e;15883;e;15946;e;165686;e
;03405;Wilhelmshaven, kreisfreie Stadt;1882;e;1951;e;2598;e;3050;e;1961;e;1419;e;4298;e;5166;e;4984;e;4570;e;4143;e;3850;e;4577;e;6109;e;5795;e;9266;e;10391;e;76010;e
;03451;Ammerland, Landkreis;3449;e;3684;e;5107;e;5989;e;3721;e;2568;e;6015;e;5921;e;7328;e;7745;e;7543;e;7241;e;9117;e;10938;e;10012;e;15628;e;15286;e;127292;e
