"zielkreis_ags","zielkreis","p_x18_bis_24_jahre","tooltip"
"01060","Segeberg",-29.0559447916009,"Hier leben rund <b> 15 840 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1381 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-29,1 je 1.000 Personen</b>."
"01061","Steinburg",-31.0588438011545,"Hier leben rund <b>  7740 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  721 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-31,1 je 1.000 Personen</b>."
"01062","Stormarn",-51.8430025635282,"Hier leben rund <b> 13 390 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2083 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-51,8 je 1.000 Personen</b>."
"11000","Berlin, Stadt",31.2272219571157,"Hier leben rund <b>190 700 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>17 865 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+31,2 je 1.000 Personen</b>."
"12051","Brandenburg an der Havel, Stadt",42.2885572139303,"Hier leben rund <b>  3750 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  476 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+42,3 je 1.000 Personen</b>."
"12052","Cottbus, Stadt",24.2585889375754,"Hier leben rund <b>  5250 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  382 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+24,3 je 1.000 Personen</b>."
"12053","Frankfurt (Oder), Stadt",9.06056270863138,"Hier leben rund <b>  2800 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>   76 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+9,1 je 1.000 Personen</b>."
"12054","Potsdam, Stadt",39.6360136494881,"Hier leben rund <b> 11 430 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1359 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+39,6 je 1.000 Personen</b>."
"12060","Barnim",-14.3470402169001,"Hier leben rund <b>  8850 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  381 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-14,3 je 1.000 Personen</b>."
"12061","Dahme-Spreewald",-15.4793743415188,"Hier leben rund <b>  8230 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  382 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-15,5 je 1.000 Personen</b>."
"12062","Elbe-Elster",-46.9460285974047,"Hier leben rund <b>  4030 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  568 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-46,9 je 1.000 Personen</b>."
"12063","Havelland",-28.3075991522858,"Hier leben rund <b>  8810 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  748 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-28,3 je 1.000 Personen</b>."
"12064","Märkisch-Oderland",-38.5939912124451,"Hier leben rund <b>  8420 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  975 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-38,6 je 1.000 Personen</b>."
"12065","Oberhavel",-29.5506100177794,"Hier leben rund <b> 10 870 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  964 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-29,6 je 1.000 Personen</b>."
"12066","Oberspreewald-Lausitz",-27.7659120034173,"Hier leben rund <b>  4680 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  390 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-27,8 je 1.000 Personen</b>."
"12067","Oder-Spree",-31.916777335104,"Hier leben rund <b>  7530 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  721 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-31,9 je 1.000 Personen</b>."
"12068","Ostprignitz-Ruppin",-11.9956379498364,"Hier leben rund <b>  4580 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  165 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-12,0 je 1.000 Personen</b>."
"12069","Potsdam-Mittelmark",-51.2484803142243,"Hier leben rund <b> 10 690 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1644 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-51,2 je 1.000 Personen</b>."
"12070","Prignitz",-26.6785678865417,"Hier leben rund <b>  3360 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  269 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-26,7 je 1.000 Personen</b>."
"12071","Spree-Neiße",-55.1772716600141,"Hier leben rund <b>  4260 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  705 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-55,2 je 1.000 Personen</b>."
"12072","Teltow-Fläming",-23.272131914396,"Hier leben rund <b>  8550 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  597 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-23,3 je 1.000 Personen</b>."
"12073","Uckermark",-31.9072735560331,"Hier leben rund <b>  5120 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  490 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-31,9 je 1.000 Personen</b>."
"13003","Rostock",77.6937696248554,"Hier leben rund <b> 16 140 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 3761 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+77,7 je 1.000 Personen</b>."
"13004","Schwerin",19.5937443825274,"Hier leben rund <b>  5560 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  327 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+19,6 je 1.000 Personen</b>."
"13071","Mecklenburgische Seenplatte",-36.376416835076,"Hier leben rund <b> 11 380 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1242 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-36,4 je 1.000 Personen</b>."
"13072","Landkreis Rostock",-62.14174543522,"Hier leben rund <b>  8780 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1637 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-62,1 je 1.000 Personen</b>."
"13073","Vorpommern-Rügen",-33.7231341415442,"Hier leben rund <b>  9320 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  943 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-33,7 je 1.000 Personen</b>."
"13074","Nordwestmecklenburg",-34.7312668229574,"Hier leben rund <b>  7680 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  800 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-34,7 je 1.000 Personen</b>."
"13075","Vorpommern-Greifswald",10.6020739823557,"Hier leben rund <b> 12 920 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  411 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+10,6 je 1.000 Personen</b>."
"13076","Ludwigslust-Parchim",-50.5248586918906,"Hier leben rund <b>  8670 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1314 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-50,5 je 1.000 Personen</b>."
"14511","Chemnitz, Stadt",32.5083784480536,"Hier leben rund <b> 12 930 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1261 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+32,5 je 1.000 Personen</b>."
"14521","Erzgebirgskreis",-40.582199321795,"Hier leben rund <b> 15 140 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1843 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-40,6 je 1.000 Personen</b>."
"14522","Mittelsachsen",-31.5835581068308,"Hier leben rund <b> 14 460 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1370 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-31,6 je 1.000 Personen</b>."
"14523","Vogtlandkreis",-30.8214662447257,"Hier leben rund <b> 10 110 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  935 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-30,8 je 1.000 Personen</b>."
"14524","Zwickau",-30.5355500213143,"Hier leben rund <b> 14 860 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1361 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-30,5 je 1.000 Personen</b>."
