"zielkreis_ags","zielkreis","p_x30_bis_49_jahre","tooltip"
"01001","Flensburg, Stadt",-1.05390431848122,"Hier leben rund <b> 18 470 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  584 mehr 30- bis 49-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-1,1 je 100 Personen</b>."
"01002","Kiel, Landeshauptstadt",-2.13870095565606,"Hier leben rund <b> 53 510 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b> 3433 mehr 30- bis 49-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,1 je 100 Personen</b>."
"01003","Lübeck, Hansestadt",-0.683511426032672,"Hier leben rund <b> 43 890 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  900 mehr 30- bis 49-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-0,7 je 100 Personen</b>."
"01004","Neumünster, Stadt",0.129519926959254,"Hier leben rund <b> 15 700 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>   61 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,1 je 100 Personen</b>."
"10041","Regionalverband Saarbrücken",-0.655656999641962,"Hier leben rund <b> 59 580 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b> 1172 mehr 30- bis 49-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-0,7 je 100 Personen</b>."
"10042","Merzig-Wadern",0.205997892114592,"Hier leben rund <b> 20 870 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  129 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,2 je 100 Personen</b>."
"10043","Neunkirchen",0.297468272215944,"Hier leben rund <b> 25 660 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  229 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,3 je 100 Personen</b>."
"10044","Saarlouis",0.316208164827667,"Hier leben rund <b> 40 060 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  380 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,3 je 100 Personen</b>."
"10045","Saarpfalz-Kreis",0.497017892644135,"Hier leben rund <b> 27 160 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  405 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,5 je 100 Personen</b>."
"10046","St. Wendel",0.570718200824999,"Hier leben rund <b> 17 700 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  303 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,6 je 100 Personen</b>."
"01051","Dithmarschen",0.989414052812259,"Hier leben rund <b> 25 540 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  758 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+1,0 je 100 Personen</b>."
"01053","Herzogtum Lauenburg",1.70503977131494,"Hier leben rund <b> 42 910 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b> 2195 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+1,7 je 100 Personen</b>."
"01054","Nordfriesland",0.672296134297228,"Hier leben rund <b> 32 920 deutsche Personen</b> zwischen 30 und 49 Jahren. Zwischen 2022 und 2024 sind <b>  664 mehr 30- bis 49-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,7 je 100 Personen</b>."
