"ags","region","bevoelkerung_2024_gesamt","durchschnittsalter_2024_gesamt","bevoelkerung_18_24_deutsch","anteil_18_24_an_bevoelkerung_deutsch","wanderungssaldo_18_24_deutsch","bevoelkerung_30_49_deutsch","anteil_30_49_an_bevoelkerung_deutsch","wanderungssaldo_30_49_deutsch"
"01001","Flensburg (Stadt)",96326,42.9000890200024,7866,9.87632619750141,5.45304971206957,18999,23.8546048088392,-1.05390431848122
"01002","Kiel (Stadt)",252668,42.5795696702744,22078,10.1565015778966,8.79257144505003,54684,25.156179558189,-2.13870095565606
"01003","Lübeck (Stadt)",216889,45.5343961671871,14211,7.53875208216184,3.39104853017135,43832,23.2523102712911,-0.683511426032672
"01004","Neumünster (Stadt)",79809,45.1245528364806,5002,7.2567424451247,-0.686760778328882,15698,22.7741589171466,0.129519926959254
"01051","Dithmarschen",133460,47.0122798977789,7667,6.26235399820305,-2.96296296296296,25590,20.9017397696643,0.989414052812259
"01053","Herzogtum Lauenburg",206235,45.4966369389264,11338,6.12249306103053,-3.89685143613653,43416,23.4445368440379,1.70503977131494
"01054","Nordfriesland",170029,46.8354160302118,9517,6.19362480313423,-3.24586977648202,32779,21.3324395735985,0.672296134297228
"01055","Ostholstein",201472,49.1158762331356,9888,5.31947515372573,-4.12979351032448,38311,20.6102763566329,1.69151127962742
"01056","Pinneberg",325223,45.3654809000632,18032,6.42231569499699,-2.46832678025339,64668,23.032293221166,0.991607103344294
"01057","Plön",130609,48.002832904498,6665,5.41214301374757,-5.69317687961756,26225,21.2953414156834,2.11736706634072
"01058","Rendsburg-Eckernförde",278058,46.4149373408732,15637,6.03316562750787,-5.06280310870315,57951,22.3590190752516,1.38796552246988
"01059","Schleswig-Flensburg",205472,46.3655145852348,11250,5.85949707285568,-3.8173779969393,42555,22.1645242609221,1.53758633399035
"01060","Segeberg",283562,45.266811589861,15639,6.1805679056257,-2.90559447916009,60861,24.0524038176537,1.32031349808091
"01061","Steinburg",132731,46.1920248609419,7353,6.05753546537492,-3.10588438011545,27247,22.4465753876065,1.48480925911825
"01062","Stormarn",246974,46.0353406577907,13163,5.8944436483485,-5.18430025635282,51102,22.8836784409257,1.46030012223349
"02000","Hamburg",1862565,42.1941753425757,113535,7.55166138545899,4.68608254102899,412069,27.4083371246285,-1.60859670686739
"03101","Braunschweig (Stadt)",252962,44.2290976181424,17418,7.88526571688555,5.89529891402388,55797,25.2597411416387,-1.84527014898582
"03102","Salzgitter (Stadt)",104970,44.1285082004231,5834,7.05910823401295,-2.25593154414625,17528,21.2087845604695,-0.387398165555745
"03103","Wolfsburg (Stadt)",129560,44.0774328893015,7040,6.64746706954346,-0.345084872225331,25756,24.3199093527218,-0.606580160802192
"03151","Gifhorn",175943,44.6120688634246,9730,6.03481960665133,-5.07867678459972,37938,23.5302144128611,1.01621716904636
"03153","Goslar",126775,48.4310164925441,6399,5.66308243727598,-2.58885686839577,23572,20.8611000486747,0.604040231358806
"03154","Helmstedt",90227,46.3239446378714,4610,5.62826585925673,-3.99812168779768,19365,23.6423792547736,0.716236409542948
"03155","Northeim",125623,47.5370520070268,6771,5.89638866876246,-2.84300494826811,24268,21.1332979195876,0.76022190260941
"03157","Peine",137045,44.7266366658589,7815,6.35236740499898,-4.21117249846532,28625,23.2676285307864,1.01464031176491
"03158","Wolfenbüttel",118290,46.6265186447337,6462,5.94245146814048,-4.05726788432268,24200,22.2543060242958,1.29943737126585
"03159","Göttingen",328028,45.5408246055965,22227,7.68066512548853,1.37128144852098,63958,22.1010473791333,-2.62599859330877
"03241","Region Hannover",1140888,44.368123435755,67874,7.1247946506831,1.90125465678928,226990,23.8273438689123,-0.636869787196584
"03251","Diepholz",221202,45.6134350765338,12440,6.2421596668172,-2.60504201680672,44633,22.3960058206634,1.39077158721042
"03252","Hameln-Pyrmont",150203,46.778175799154,7901,6.0356747259463,-2.81580281580282,27846,21.2719147473359,0.56129700561297
"03254","Hildesheim",267506,45.8527679926102,17135,7.14446538467953,0.168715353097132,52882,22.0492336429894,0.332131334219017
"03255","Holzminden",65581,47.3830823883137,3710,6.28462046651873,-2.56161616161616,12166,20.6088120203954,0.474427533251063
"03256","Nienburg (Weser)",121468,45.5109404805607,7227,6.62146685601722,-2.57390082136426,24028,22.0147510192863,0.986518055672831
"03257","Schaumburg",156841,46.9448047131729,8704,6.18159866482014,-3.76366993324812,30051,21.3422818791946,0.988473394987267
"03351","Celle",172449,45.6831229731371,9809,6.25761548423316,-3.43912776214048,36077,23.0151895019553,0.975440959168023
"03352","Cuxhaven",198842,47.1206955285676,10535,5.71203947190067,-3.69392365695508,39449,21.3891072735652,1.15936098750277
"03353","Harburg",265864,45.5269053556772,14635,6.09682431897618,-3.43231692464404,55039,22.9288085884612,1.77036474820588
"03354","Lüchow-Dannenberg",46502,49.0504711095854,2367,5.46865975094148,-6.21168778095627,8693,20.084097682693,1.83372183372183
"03355","Lüneburg",179448,44.4066399055346,12246,7.43150165366993,0.0519089516987205,39255,23.8219498133932,0.559695144772209
"03356","Osterholz",113598,46.3647798234344,6190,5.85802568446156,-4.21008969772386,23566,22.3021378481456,1.47793089674456
"03357","Rotenburg (Wümme)",165904,45.1355316803388,10353,6.83406935065449,-2.89868132528311,34479,22.7597679070044,0.899554617909048
"03358","Heidekreis",141321,45.6568870229734,8322,6.5006483463263,-2.90717637633055,28843,22.5304254089269,0.787840758558182
"03359","Stade",207700,44.7721739431086,11901,6.42810845846386,-2.46418938382172,43015,23.2337690396457,0.789264134151483
"03360","Uelzen",91638,47.219507194311,5097,6.08321000620614,-2.84228125580531,17706,21.1319043299756,1.42695356738392
"03361","Verden",138626,45.047337851274,7920,6.32325232331619,-2.44648318042813,28322,22.6120141794143,1.2399708242159
"03401","Delmenhorst (Stadt)",81406,44.2888860964064,4730,7.07988444670628,-0.548954207490793,14802,22.1556975856546,0.128196477970447
"03402","Emden (Stadt)",49202,44.3565507250367,3187,7.44521796009905,-0.993029695407238,9808,22.9126757931131,-0.203748981255094
"03403","Oldenburg (Stadt)",176614,43.2182672726589,13331,8.61014409445259,6.31405735778091,38201,24.6730263710287,-1.40695561432864
"03404","Osnabrück (Stadt)",166057,42.4320927404571,14716,10.6208997019277,6.93839779586514,32866,23.7202017942074,-2.53401205027382
"03405","Wilhelmshaven (Stadt)",75745,46.3625828672917,4304,6.58758705135073,0.530612244897959,14281,21.8581158643912,-0.732074930022249
"03451","Ammerland",127751,45.9124334947128,7352,6.2691861654956,-3.84916492693111,26291,22.418821201992,1.30549981993106
"03452","Aurich",188816,46.3583143406146,11126,6.32590402547191,-3.69512464151776,38206,21.7227655219468,0.714291928762213
"03453","Cloppenburg",177025,41.6031306490398,11812,7.74816496008501,-2.23927836683019,35985,23.6046153139739,0.474201196793497
"03454","Emsland",334539,43.5072067190332,20144,6.95462439021022,-2.71167083371917,68119,23.5177749621093,0.635729163581801
"03455","Friesland",100411,47.6092294672827,5288,5.59908517216552,-3.63244224984392,20420,21.6212782177798,1.48569701853344
"03456","Grafschaft Bentheim",144543,44.2552915847276,8305,6.82494288578801,-3.10960706899793,28084,23.0790723665828,0.551004308513866
"03457","Leer",169103,44.8591568195939,10002,6.54491202125362,-2.88538033168105,35096,22.965430143763,0.692831818659633
"03458","Oldenburg (Land)",132008,45.4525237877435,7512,6.28545609719363,-4.13478824365567,26992,22.5848017805445,1.66945543048372
